% Model:              outside_in_originalconfiguration_baseline_240mins.mph
% Version:            COMSOL 6.3.0.420
% Date:               May 28 2026, 21:42
% Dimension:          2
% Nodes:              149
% Expressions:        13
% Description:        Pressure
% Length unit:        mm
% r                       z                        p (Pa) @ t=0             p (Pa) @ t=20            p (Pa) @ t=40            p (Pa) @ t=60            p (Pa) @ t=80            p (Pa) @ t=100           p (Pa) @ t=120           p (Pa) @ t=140           p (Pa) @ t=160           p (Pa) @ t=180           p (Pa) @ t=200           p (Pa) @ t=220           p (Pa) @ t=240
0.5                       15.806535947712419       0.03538788129890455      0.03538788129890455      0.03538788129890455      0.03538788129890455      0.03538788129890455      0.03538788129890455      0.03538788129890455      0.03538788129890455      0.03538788129890455      0.03538788129890455      0.03538788129890455      0.03538788129890455      0.03538788129890455
0.5                       15.200000000000003       0.03772867868859646      0.03772867868859646      0.03772867868859646      0.03772867868859646      0.03772867868859646      0.03772867868859646      0.03772867868859646      0.03772867868859646      0.03772867868859646      0.03772867868859646      0.03772867868859646      0.03772867868859646      0.03772867868859646
0.5                       15.406535947712417       0.03693317727706648      0.03693317727706648      0.03693317727706648      0.03693317727706648      0.03693317727706648      0.03693317727706648      0.03693317727706648      0.03693317727706648      0.03693317727706648      0.03693317727706648      0.03693317727706648      0.03693317727706648      0.03693317727706648
0.5                       14.8                     0.03927704763015358      0.03927704763015358      0.03927704763015358      0.03927704763015358      0.03927704763015358      0.03927704763015358      0.03927704763015358      0.03927704763015358      0.03927704763015358      0.03927704763015358      0.03927704763015358      0.03927704763015358      0.03927704763015358
0.5                       15.006535947712415       0.03847755615443432      0.03847755615443432      0.03847755615443432      0.03847755615443432      0.03847755615443432      0.03847755615443432      0.03847755615443432      0.03847755615443432      0.03847755615443432      0.03847755615443432      0.03847755615443432      0.03847755615443432      0.03847755615443432
0.5                       14.400000000000006       0.04081876934348619      0.04081876934348619      0.04081876934348619      0.04081876934348619      0.04081876934348619      0.04081876934348619      0.04081876934348619      0.04081876934348619      0.04081876934348619      0.04081876934348619      0.04081876934348619      0.04081876934348619      0.04081876934348619
0.5                       14.606535947712416       0.04002272302826638      0.04002272302826638      0.04002272302826638      0.04002272302826638      0.04002272302826638      0.04002272302826638      0.04002272302826638      0.04002272302826638      0.04002272302826638      0.04002272302826638      0.04002272302826638      0.04002272302826638      0.04002272302826638
0.5                       13.999999999999996       0.042366288067894387     0.042366288067894387     0.042366288067894387     0.042366288067894387     0.042366288067894387     0.042366288067894387     0.042366288067894387     0.042366288067894387     0.042366288067894387     0.042366288067894387     0.042366288067894387     0.042366288067894387     0.042366288067894387
0.5                       14.206535947712414       0.04156723805612733      0.04156723805612733      0.04156723805612733      0.04156723805612733      0.04156723805612733      0.04156723805612733      0.04156723805612733      0.04156723805612733      0.04156723805612733      0.04156723805612733      0.04156723805612733      0.04156723805612733      0.04156723805612733
0.5                       13.599999999999998       0.04390872766447838      0.04390872766447838      0.04390872766447838      0.04390872766447838      0.04390872766447838      0.04390872766447838      0.04390872766447838      0.04390872766447838      0.04390872766447838      0.04390872766447838      0.04390872766447838      0.04390872766447838      0.04390872766447838
